category,arima_params,avg_historical_demand,forecast_demand,min_forecast,max_forecast,growth_rate,mae,rmse,mape,data_quality,has_visualization
toys,"(3,2,0)",77900.875,7790.087500000001,0.0,54186.54152177161,-80.0,77646.34218673455,92797.2523710664,58.75930313857178,Sufficient,True
health_beauty,"(2,2,3)",7692.523809523809,9385.493507351423,0.0,26677.906027915727,40.139534551021356,3760.3175079710877,4542.627554139746,62.61414391187477,Sufficient,True
computers_accessories,"(0,2,1)",4880.9047619047615,3269.105449603256,0.0,22826.359694172956,-36.61244845525452,5808.454044766055,6298.0593002529295,67.57134685549146,Sufficient,True
garden_tools,"(2,2,0)",4840.95,484.0950000000001,0.0,29780.79555268372,-79.65702479338843,1957.7470096789245,2150.160270208224,69.66367946503667,Sufficient,True
watches_gifts,"(0,2,1)",4089.8,1807.7746564591841,0.0,34705.58575473677,-48.40179261982211,43494.39126300062,48665.0875614915,83.43613613978215,Sufficient,True
bed_bath_table,"(0,2,1)",1441.8095238095239,804.0016974445708,0.0,6997.916848688582,-23.757603731214612,754.4387679465847,910.8338159237829,51.53209942573712,Sufficient,True
furniture_decor,"(1,2,1)",1156.0,1734.594592331952,0.0,4147.8291249415015,12.644924850345433,1297.143445367437,1399.4085574085332,55.43566659686536,Sufficient,True
sports_leisure,"(3,2,3)",1137.1904761904761,2350.226093089162,,,100.0,2876.3783383577297,2891.859453378204,100.0,Sufficient,True
cool_stuff,"(2,2,3)",1072.857142857143,1.0,,,-80.0,645.8655093426507,810.3489599967024,86.600625486528,Sufficient,True
perfumery,"(0,2,2)",848.2380952380952,293.01200868528474,0.0,2729.471544728411,-16.7705768925379,1171.7871186412017,1201.2057605841535,91.20425579768252,Sufficient,True
telephony,"(2,2,0)",661.4285714285714,175.69375542254627,0.0,3793.4954898153096,-80.0,2163.7248440875696,2254.8461152540226,92.21291807655848,Sufficient,True
office_furniture,"(1,2,2)",651.5714285714286,183.85052819451073,0.0,2281.906143700666,-13.886488495234465,2205.0366920644947,2557.2714996043624,75.50646775140854,Sufficient,True
housewares,"(0,2,1)",646.0952380952381,423.6088057967679,0.0,2357.6531664010868,-8.308571028518404,310.4431662013952,345.07181253811694,49.06256745884241,Sufficient,True
auto,"(1,2,1)",500.42857142857144,970.7035392896677,341.53664682011595,1803.7088621204798,-4.3993822100310425,133.41507146053053,189.3360984823028,15.164922965936535,Sufficient,True
electronics,"(0,2,1)",497.75,284.9600803589674,0.0,2385.5073601195973,-57.98966920549362,432.6804729734731,601.4794770770862,46.470166881044214,Sufficient,True
