product_category,category,avg_monthly_demand,safety_stock,reorder_point,next_month_forecast,forecast_demand,growth_rate,lead_time_days,days_between_orders,avg_item_cost
toys,toys,77900.875,66024.74284145147,100063.12625146305,7790.087500000001,7790.087500000001,-90.0,13.108344447996863,0.34699597279031613,591.8113398704874
health_beauty,health_beauty,7692.523809523809,4357.1918864564295,7343.669265461427,9576.668659434963,9576.668659434963,24.493194906702385,11.646934554720094,2.170889194170088,153.11943723962045
computers_accessories,computers_accessories,4880.9047619047615,5312.3598603032715,7570.038652135282,2946.8872713152173,2946.8872713152173,-39.62415955509852,13.876600150773829,2.4320663600444297,192.27521790456487
garden_tools,garden_tools,4840.95,5486.48824442714,7819.833796799825,484.095,484.095,-89.99999999999999,14.460047422753913,0.8593479185755583,1552.7653506026707
watches_gifts,watches_gifts,4089.8,7116.57625119591,8977.81237907014,1622.9356161311953,1622.9356161311953,-60.317482123057474,13.652766354400423,2.2725749360235463,262.80643283290135
bed_bath_table,bed_bath_table,1441.8095238095239,1275.749489364016,1860.9598911864732,723.2861992698773,723.2861992698773,-49.83482996014458,12.176582110712337,4.011730420871506,239.22309994055092
furniture_decor,furniture_decor,1156.0,841.9579425659186,1295.1230056538081,1619.0830531822983,1619.0830531822983,40.05908764552753,11.76033900747118,3.657841587358662,358.89455264458724
sports_leisure,sports_leisure,1137.1904761904761,737.149898728314,1176.0823768845457,4587.422708547233,4587.422708547233,303.39967706332186,11.57939203711846,4.468350312204934,244.48197521041837
cool_stuff,cool_stuff,1072.857142857143,1106.86421088068,1522.3900588377642,1.0,1.0,-99.90679094540612,11.619231434219396,5.168675172120021,193.67524367509986
perfumery,perfumery,848.2380952380952,623.794005971034,956.3799846232973,419.1988610512508,419.1988610512508,-50.58004781858043,11.762710747820464,6.592157811871363,150.59186885982146
telephony,telephony,661.4285714285714,672.2162770658301,957.3228044210623,74.57590012886158,74.57590012886158,-88.72502589844426,12.93139756902781,3.039744400913511,908.2750863930885
office_furniture,office_furniture,651.5714285714286,746.1834838162398,1209.355327400896,292.7859391162028,292.7859391162028,-55.06464429262399,21.325605602450732,5.569404526558959,274.659691588102
housewares,housewares,646.0952380952381,386.692642647132,615.7325705020702,379.6025159419338,379.6025159419338,-41.24666247950612,10.63496127274551,5.437728694676103,290.5647162441038
auto,auto,500.42857142857144,280.935149170091,448.75630336247787,864.548253547286,864.548253547286,72.76156936428781,10.060645840822506,6.530763727870624,260.0784965267866
electronics,electronics,497.75,573.5589218753698,767.4460467596291,255.70288010256212,255.70288010256212,-48.62825110948024,11.685813654500812,10.63280893776335,98.64321044701154
