customer_state,order_count,avg_processing_time,avg_delivery_days,total_sales,on_time_delivery_rate
AC,269,0.9581212997384001,6.564069255128734,56668.68,25.650557620817843
AL,2163,1.1225710818307906,6.180361188164587,1208530.82,62.413314840499304
AM,405,0.2719804526748971,5.341116255144033,80445.92,69.38271604938272
AP,183,1.1848239222829386,6.108321190042501,73596.87,51.36612021857923
BA,16161,0.6098762939816247,5.555795482150674,9185459.07,75.59556958109029
CE,6905,0.3614258220023064,5.323482302813313,5014802.62,79.62346125995656
DF,9882,0.4634347558130383,5.42912995921316,3864120.76,73.91216352964986
ES,10570,0.4415454860016118,5.427354379095273,6414325.5,79.7445600756859
GO,10839,0.7145286215671802,5.846367352077374,7976963.029999999,75.93873973613802
MA,3391,0.8311634333666459,6.0365418605349666,1482213.43,66.70644391408115
MG,61180,0.5255131102212052,5.564318184879469,34139885.1,72.5335076822491
MS,3794,0.23784734119662626,5.4031082795202945,995630.84,80.46916183447549
MT,4940,0.7150694046146349,5.696041064533664,3514891.76,68.6842105263158
PA,4536,0.5228329000710367,5.6518011540392905,2674229.13,79.78395061728395
PB,3102,0.4731674084222843,5.699795390369415,809022.61,75.11283043197938
PE,8161,0.6220284015098911,5.363481654787676,4708683.05,71.57211126087489
PI,2378,0.4241708913497181,5.132749528860231,1908325.8399999999,89.57106812447435
PR,23077,0.4433278319242022,5.42694788652402,14608949.379999999,77.72674091086364
RJ,67221,0.4538626339349421,5.472761844636845,34182173.76,75.16410889983776
RN,2101,0.5591436892925767,5.426825745456308,987277.21,71.20418848167539
RO,1008,0.639894019143151,5.6131083048574375,264902.37,79.26587301587301
RR,172,0.2889600156115418,4.573843736541774,14851.71,83.13953488372093
RS,31466,0.5719384321127919,5.612902825301148,17024749.02,76.45638010487843
SC,17421,0.4924235630103727,5.500574645037811,8516519.78,74.92681246771139
SE,2254,0.3226800348762694,5.623478615177955,1212596.47,65.70541259982254
SP,188371,0.4558331341659397,5.458513631590299,92138208.53999999,75.62617457502945
TO,1233,0.4162606259950137,5.302716424859572,306779.3,86.45579886455799
